Payment_ID,Payment_Date,Month,Student_ID,Subject,Level,Tutor,Payment_Method,Course_Fee,Discount,Amount_Paid,Payment_Status,Student_Status
PAY01043,"Jun 05, 2025",June,STU0311,Grammar,Intermediate, john ,transfer,650000,100000,550000,paid,Inactive
PAY01044,2025/09/19,September,STU0264,Grammar,Beginner,Linda, Cash ,650000,,,Unpaid,Inactive
PAY01045,12/04/2025,April,STU0244,Math,Intermediate,Jhon, Cash ,500000,0,500000,paid,Inactive
PAY01046,2025/12/23,December,STU0336,English,Beginner,Jhon,Transfer,750000,100000,650000,Paid,Actve
PAY01047,26/01/2025,January,STU0238,Grammar,Intermediate,,,500000,100000,400000,paid,Actve
PAY01048,2025/10/08,October,STU0231,Speaking,Beginner,David,,650000,,,paid,Actve
PAY01049,17/11/2025,November,STU0147,TOEFL,Intermediate,Emily,Bank Transfer,700000,100000,600000,paid,Active
PAY01050,12/03/2025,March,STU0362,TOEFL,Beginner,Jhon,transfer,650000,100000,550000,Unpaid,Actve
PAY01051,2025-08-01,August,STU0395,English,Advanced,Jhon,transfer,650000,100000,550000,Paid,active
PAY01052,2025/06/02,June,STU0280,TOEFL,Intermediate,Linda,Bank Transfer,750000,-50000,800000,Unpaid,Actve
PAY01053,2025/01/15,January,STU0208,IELTS,Intermediate,Michael,E-Wallet,700000,,,paid,Active
PAY01054,2025-07-21,July,STU0444,ENG,Beginner,John,Bank Transfer,500000,,,Unpaid,active
PAY01055,2025/04/19,April,STU0195,Speaking,Intermediate,David,,700000,50000,650000,Paid,Actve
PAY01056,2025-01-10,January,STU0400,English,Beginner,Linda,Transfer,700000,25000,675000,Paid,Inactive
PAY01057,03/05/2025,May,STU0486,TOEFL,Intermediate,David,,750000,,,Unpaid,Inactive
PAY01058,2025-11-07,November,STU0014,Speaking,Advanced,Jhon,transfer,650000,50000,600000,paid,Inactive
PAY01059,08/02/2025,February,STU0436,Math,Advanced,John,Bank Transfer,500000,,,paid,Actve
PAY01060,"Dec 05, 2025",December,STU0007,english,Intermediate,Sarah,transfer,500000,-50000,550000,Unpaid,Actve
PAY01061,29/12/2025,December,STU0495,Speaking,Advanced,SARAH,,750000,25000,725000,Unpaid,Actve
PAY01062,"Aug 12, 2025",August,STU0045,Speaking,Intermediate,Linda,,700000,25000,675000,Unpaid,Actve
PAY01063,2025-06-22,June,STU0109,Grammar,Intermediate,Emily,Bank Transfer,750000,50000,700000,paid,active
PAY01064,2025-10-12,October,STU0369,english,Intermediate,SARAH,,5000000,25000,4975000,Paid,Actve
PAY01065,2025/11/27,November,STU0114,english,Advanced,Linda,Bank Transfer,750000,0,750000,paid,active
PAY01066,"Aug 31, 2025",August,STU0181,ENG,Intermediate,David,Bank Transfer,750000,,,Paid,Active
PAY01067,"Apr 09, 2025",April,STU0391,IELTS,Beginner,Linda, Cash ,500000,,,Unpaid,active
PAY01068,"Oct 29, 2025",October,STU0185,IELTS,Intermediate,John, Cash ,500000,25000,475000,paid,Inactive
PAY01069,2025-05-21,May,STU0484,IELTS,Advanced, john ,Cash,500000,-50000,550000,Paid,active
PAY01070,2025/08/29,August,STU0027,Speaking,Intermediate,Sarah,,750000,50000,700000,Paid,Actve
PAY01071,2025-09-09,September,STU0078,IELTS,Advanced,David,Cash,5000000,,,Paid,Active
PAY01072,2025/10/13,October,STU0116,english,Intermediate, john ,Bank Transfer,5000000,-50000,5050000,paid,Actve
PAY01073,2025-06-06,June,STU0391,TOEFL,Advanced,Linda,Bank Transfer,5000000,,,paid,Active
PAY01074,22/03/2025,March,STU0002,english,Intermediate,,transfer,650000,-50000,700000,Unpaid,Active
PAY01075,"Apr 29, 2025",April,STU0037,TOEFL,Intermediate,, Cash ,700000,,,Paid,Actve
PAY01076,28/02/2025,February,STU0037,English,Beginner,David,E-Wallet,650000,50000,600000,paid,active
PAY01077,2025-08-13,August,STU0207,Speaking,Advanced,SARAH,transfer,750000,,,Unpaid,Active
PAY01078,2025-11-03,November,STU0129,English,Beginner,Linda, Cash ,750000,,,paid,Active
PAY01079,"Dec 11, 2025",December,STU0090,ENG,Advanced, john ,Bank Transfer,5000000,0,5000000,Paid,Actve
PAY01080,2025/11/22,November,STU0171,Grammar,Advanced,Sarah,,500000,100000,400000,Paid,active
PAY01081,2025/07/30,July,STU0417,English,Intermediate,Sarah,Bank Transfer,700000,,,Unpaid,active
PAY01082,2025/03/01,March,STU0278,ENG,Intermediate,John,Transfer,5000000,0,5000000,paid,active
PAY01083,2025/11/15,November,STU0282,IELTS,Intermediate, john , Cash ,750000,0,750000,Unpaid,Active
PAY01084,15/01/2025,January,STU0283,english,Beginner,Linda,,650000,50000,600000,Paid,Actve
PAY01085,02/03/2025,March,STU0362,Speaking,Intermediate, john ,transfer,750000,,,Paid,Actve
PAY01086,10/10/2025,October,STU0261,IELTS,Beginner,David,,750000,25000,725000,Unpaid,active
PAY01087,"Sep 17, 2025",September,STU0429,ENG,Beginner, john ,E-Wallet,500000,50000,450000,Unpaid,active
PAY01088,2025/06/20,June,STU0358,TOEFL,Advanced,Jhon,Transfer,750000,50000,700000,Unpaid,Active
PAY01089,2025/06/12,June,STU0406,IELTS,Intermediate,John,Transfer,750000,100000,650000,paid,active
PAY01090,2025/02/21,February,STU0008,IELTS,Intermediate,Michael,Cash,500000,-50000,550000,Unpaid,active
PAY01091,2025/06/23,June,STU0440,english,Intermediate, john ,,500000,50000,450000,paid,Active
PAY01092,2025-11-13,November,STU0148,TOEFL,Advanced,Sarah,transfer,650000,,,Paid,Active
PAY01093,16/08/2025,August,STU0408,English,Intermediate,Emily,Bank Transfer,700000,0,700000,Unpaid,Inactive
PAY01094,2025/05/06,May,STU0088,IELTS,Beginner,,,5000000,,,Unpaid,Inactive
PAY01095,12/09/2025,September,STU0236,Speaking,Advanced,John,,650000,100000,550000,Unpaid,active
PAY01096,13/12/2025,December,STU0301,Speaking,Advanced,Jhon, Cash ,500000,100000,400000,Unpaid,Actve
PAY01097,04/06/2025,June,STU0196,Grammar,Advanced,David, Cash ,750000,100000,650000,Unpaid,Active
PAY01098,2025/12/04,December,STU0352,English,Advanced, john ,,700000,0,700000,Unpaid,Inactive
PAY01099,"Nov 07, 2025",November,STU0129,IELTS,Advanced,Sarah, Cash ,650000,,,paid,Active
PAY01100,2025/06/08,June,STU0068,Math,Intermediate,Emily, Cash ,500000,-50000,550000,Unpaid,Inactive
PAY01101,13/04/2025,April,STU0468,Speaking,Beginner,David,,5000000,50000,4950000,Unpaid,active
PAY01102,2025-06-23,June,STU0495,TOEFL,Advanced,Jhon,,750000,0,750000,paid,active
PAY01103,2025/02/16,February,STU0233,Grammar,Advanced,David,E-Wallet,500000,50000,450000,Unpaid,active
PAY01104,25/02/2025,February,STU0483,Grammar,Advanced,Linda, Cash ,750000,0,750000,Paid,Actve
PAY01105,"Dec 25, 2025",December,STU0485,English,Intermediate, john ,Cash,750000,0,750000,Paid,Inactive
PAY01106,03/10/2025,October,STU0487,english,Advanced,Michael,transfer,750000,100000,650000,paid,Active
PAY01107,2025/09/08,September,STU0112,ENG,Intermediate,Linda,,700000,0,700000,Unpaid,Active
PAY01108,"Dec 18, 2025",December,STU0204,Speaking,Beginner,Sarah,,5000000,,,Unpaid,Active
PAY01109,06/12/2025,December,STU0171,TOEFL,Beginner,,Transfer,5000000,0,5000000,Paid,Inactive
PAY01110,28/10/2025,October,STU0404,English,Intermediate,Michael,Transfer,650000,50000,600000,paid,active
PAY01111,2025-03-31,March,STU0405,TOEFL,Advanced,Emily,Cash,500000,25000,-475000,Paid,active
PAY01112,27/01/2025,January,STU0033,ENG,Intermediate,Emily,E-Wallet,750000,-50000,800000,paid,Active
PAY01113,20/08/2025,August,STU0466,Speaking,Intermediate,John,Cash,5000000,0,5000000,Unpaid,Actve
PAY01114,2025-08-07,August,STU0038,Math,Intermediate,,Transfer,750000,,,Paid,Inactive
PAY01115,"May 21, 2025",May,STU0233,english,Beginner,Sarah,,750000,-50000,800000,paid,Inactive
PAY01116,2025/08/09,August,STU0233,english,Intermediate,Sarah,Bank Transfer,650000,100000,550000,Unpaid,active
PAY01117,"Dec 07, 2025",December,STU0243,Math,Beginner,Sarah,Cash,700000,25000,675000,Unpaid,Active
PAY01118,10/07/2025,July,STU0288,Grammar,Advanced,Sarah,transfer,5000000,0,5000000,Unpaid,Actve
PAY01119,"Jan 27, 2025",January,STU0296,TOEFL,Beginner, john ,Transfer,5000000,50000,4950000,Paid,active
PAY01120,"Oct 12, 2025",October,STU0414,english,Advanced,,E-Wallet,500000,50000,450000,paid,Active
PAY01121,"Nov 08, 2025",November,STU0391,Speaking,Intermediate,Emily,Cash,500000,25000,475000,Paid,Inactive
PAY01122,2025/10/17,October,STU0498,English,Beginner,SARAH,Transfer,500000,25000,475000,Unpaid,Actve
PAY01123,"Aug 21, 2025",August,STU0167,Math,Beginner,Michael,Transfer,650000,50000,600000,paid,Active
PAY01124,2025-12-12,December,STU0249,ENG,Intermediate,David,Transfer,700000,100000,600000,paid,Active
PAY01125,2025/06/26,June,STU0304,ENG,Advanced,David,Cash,500000,50000,450000,Paid,Actve
PAY01126,2025-11-03,November,STU0109,IELTS,Intermediate,David,Bank Transfer,500000,25000,475000,Paid,Active
PAY01127,2025/09/12,September,STU0361,TOEFL,Advanced,SARAH,,650000,25000,625000,paid,active
PAY01128,2025/02/06,February,STU0472,Math,Intermediate,,transfer,500000,100000,-400000,paid,Actve
PAY01129,2025/12/30,December,STU0495,Grammar,Beginner,,transfer,700000,0,700000,paid,active
PAY01130,2025/02/15,February,STU0206,Math,Intermediate,David, Cash ,500000,25000,475000,Unpaid,Inactive
PAY01131,20/06/2025,June,STU0272,TOEFL,Intermediate,Emily, Cash ,500000,-50000,550000,paid,Inactive
PAY01132,2025-05-01,May,STU0309,IELTS,Advanced,Sarah,Transfer,650000,50000,600000,paid,Actve
PAY01133,2025/08/26,August,STU0320,Grammar,Advanced,Emily,Transfer,5000000,,,Unpaid,Active
PAY01134,2025/08/29,August,STU0181,Math,Intermediate, john ,transfer,700000,50000,650000,Paid,Active
PAY01135,"Jul 08, 2025",July,STU0438,Math,Advanced,,E-Wallet,500000,,,Unpaid,Actve
PAY01136,2025-10-25,October,STU0165,ENG,Advanced,Michael,Cash,750000,-50000,800000,Unpaid,Active
PAY01137,2025-06-25,June,STU0127,ENG,Intermediate,SARAH,E-Wallet,5000000,,,paid,Inactive
PAY01138,"Jul 06, 2025",July,STU0174,English,Advanced,Emily,Cash,700000,100000,600000,Unpaid,Active
PAY01139,2025/10/13,October,STU0337,IELTS,Intermediate,Sarah,E-Wallet,700000,50000,650000,paid,Inactive
PAY01140,"Jun 29, 2025",June,STU0481,Math,Intermediate,SARAH,transfer,750000,25000,725000,paid,active
PAY01141,2025-03-07,March,STU0186,Speaking,Beginner,Linda,Bank Transfer,750000,-50000,800000,Unpaid,Inactive
PAY01142,26/04/2025,April,STU0404,Math,Advanced,SARAH,,650000,0,650000,paid,Active
PAY01143,"Dec 05, 2025",December,STU0079,IELTS,Beginner,,,5000000,25000,4975000,Paid,Actve
PAY01144,2025/01/23,January,STU0497,ENG,Advanced,David,,700000,,,paid,Actve
PAY01145,30/04/2025,April,STU0100,Grammar,Advanced,,transfer,700000,100000,600000,Unpaid,active
PAY01146,2025/07/15,July,STU0071,Speaking,Beginner, john ,,650000,25000,625000,Unpaid,Active
PAY01147,2025-12-31,December,STU0140,ENG,Advanced,Michael,,700000,0,700000,Unpaid,Active
PAY01148,2025/04/24,April,STU0203,Grammar,Beginner,Jhon,Cash,700000,0,700000,Unpaid,Inactive
PAY01149,"Jan 15, 2025",January,STU0406,IELTS,Beginner,John,Bank Transfer,500000,,,Unpaid,Inactive
PAY01150,2025/12/28,December,STU0041,English,Intermediate,Linda,,750000,-50000,-800000,Paid,Actve
PAY01151,"Feb 26, 2025",February,STU0123,english,Advanced,,transfer,650000,50000,600000,Paid,Active
PAY01152,2025-09-13,September,STU0074,Speaking,Intermediate,John,E-Wallet,5000000,-50000,5050000,Unpaid,Inactive
PAY01153,2025/10/20,October,STU0269,Grammar,Beginner,SARAH,E-Wallet,650000,,,paid,Active
PAY01154,2025/07/19,July,STU0192,Speaking,Advanced,John,Bank Transfer,500000,,,Paid,active
PAY01155,2025-05-04,May,STU0069,English,Intermediate,SARAH,Bank Transfer,5000000,,,paid,Inactive
PAY01156,2025/12/17,December,STU0070,Math,Advanced, john ,Cash,750000,,,Unpaid,Inactive
PAY01157,23/01/2025,January,STU0264,english,Advanced, john ,Bank Transfer,500000,50000,450000,Paid,Inactive
PAY01158,"May 27, 2025",May,STU0064,Grammar,Intermediate,Jhon, Cash ,500000,,,Unpaid,Actve
PAY01159,23/06/2025,June,STU0474,Speaking,Beginner,Jhon,Cash,750000,,,Unpaid,Inactive
PAY01160,"Oct 07, 2025",October,STU0339,Speaking,Intermediate, john ,E-Wallet,700000,0,700000,paid,Actve
PAY01161,2025/03/27,March,STU0446,Grammar,Advanced,Jhon,Bank Transfer,700000,100000,600000,paid,Active
PAY01162,2025/02/08,February,STU0348,IELTS,Beginner,Michael,,700000,-50000,750000,paid,Actve
PAY01163,18/01/2025,January,STU0188,Grammar,Intermediate,,Cash,500000,25000,475000,paid,Inactive
PAY01164,2025/12/14,December,STU0040,IELTS,Advanced,Emily,transfer,700000,50000,650000,Unpaid,active
PAY01165,2025-05-08,May,STU0266,english,Advanced,Sarah,Bank Transfer,500000,,,Unpaid,Actve
PAY01166,"Apr 20, 2025",April,STU0437,Math,Intermediate,Michael, Cash ,750000,25000,725000,Unpaid,Active
PAY01167,"Dec 16, 2025",December,STU0278,Speaking,Intermediate,Michael, Cash ,700000,,,paid,Inactive
PAY01168,05/07/2025,July,STU0122,ENG,Beginner,Emily,E-Wallet,500000,25000,475000,paid,active
PAY01169,28/08/2025,August,STU0204,ENG,Advanced,Jhon,,5000000,0,5000000,Unpaid,Active
PAY01170,"Mar 06, 2025",March,STU0265,Grammar,Beginner,SARAH, Cash ,500000,100000,400000,paid,Inactive
PAY01171,2025/03/08,March,STU0266,IELTS,Intermediate,Michael,Transfer,5000000,0,5000000,Unpaid,Inactive
PAY01172,"Jun 27, 2025",June,STU0490,Speaking,Beginner,David,E-Wallet,500000,50000,450000,paid,Active
PAY01173,15/09/2025,September,STU0338,Grammar,Advanced,John,,5000000,-50000,5050000,Paid,Active
PAY01174,"Jan 24, 2025",January,STU0328,English,Intermediate,SARAH,Bank Transfer,650000,-50000,700000,paid,active
PAY01175,05/09/2025,September,STU0353,English,Beginner, john ,transfer,750000,50000,700000,Unpaid,Actve
PAY01176,"Apr 15, 2025",April,STU0368,Grammar,Advanced,Emily,transfer,5000000,25000,4975000,Paid,active
PAY01177,2025-09-21,September,STU0137,ENG,Beginner,Michael,Cash,700000,25000,675000,Paid,active
PAY01178,2025/07/16,July,STU0479,Grammar,Beginner,Michael,transfer,650000,25000,625000,paid,Actve
PAY01179,"Sep 13, 2025",September,STU0202,ENG,Beginner,Linda,E-Wallet,750000,0,750000,Unpaid,Active
PAY01180,"Jan 26, 2025",January,STU0335,ENG,Intermediate,SARAH,Cash,750000,-50000,800000,Paid,Actve
PAY01181,"Mar 10, 2025",March,STU0206,English,Advanced,SARAH,Transfer,700000,100000,600000,Unpaid,active
PAY01182,2025/02/07,February,STU0144,Math,Beginner,Sarah,transfer,5000000,100000,4900000,Unpaid,active
PAY01183,"Oct 13, 2025",October,STU0206,English,Beginner,John,Transfer,650000,25000,625000,paid,active
PAY01184,2025/08/31,August,STU0072,Grammar,Advanced,Emily,Transfer,650000,-50000,700000,Unpaid,active
PAY01185,"Oct 31, 2025",October,STU0363,Speaking,Intermediate,John,Bank Transfer,5000000,-50000,5050000,Unpaid,Active
PAY01186,"Aug 02, 2025",August,STU0496,TOEFL,Advanced,John,E-Wallet,500000,-50000,550000,Unpaid,Inactive
PAY01187,2025/09/26,September,STU0294,Math,Beginner,John,transfer,650000,,,Unpaid,Actve
PAY01188,2025/03/19,March,STU0314,ENG,Advanced,John, Cash ,650000,100000,550000,Paid,Inactive
PAY01189,"Oct 15, 2025",October,STU0490,IELTS,Intermediate,SARAH,Bank Transfer,750000,-50000,800000,paid,active
PAY01190,"Dec 13, 2025",December,STU0127,Speaking,Advanced,David,Transfer,5000000,100000,4900000,Unpaid,active
PAY01191,27/12/2025,December,STU0287,Speaking,Intermediate,Sarah,E-Wallet,750000,50000,700000,paid,Actve
PAY01192,"Jul 22, 2025",July,STU0490,Math,Intermediate, john , Cash ,650000,50000,600000,Unpaid,Actve
PAY01193,20/04/2025,April,STU0357,Speaking,Beginner,Sarah,E-Wallet,5000000,50000,4950000,paid,Inactive
PAY01194,2025-05-05,May,STU0027,Math,Intermediate,Emily, Cash ,5000000,25000,4975000,Unpaid,Active
PAY01195,15/12/2025,December,STU0081,english,Advanced, john ,transfer,500000,-50000,550000,paid,Inactive
PAY01196,"May 28, 2025",May,STU0394,Math,Advanced,,Transfer,700000,,,paid,Active
PAY01197,2025/03/31,March,STU0204,ENG,Beginner,David,Cash,650000,0,650000,Paid,active
PAY01198,2025-10-18,October,STU0329,ENG,Beginner,SARAH,transfer,700000,50000,650000,Unpaid,Inactive
PAY01199,"Feb 27, 2025",February,STU0132,IELTS,Beginner,Emily,,650000,,,Unpaid,Inactive
PAY01200,2025/03/31,March,STU0206,Math,Beginner,Michael,transfer,750000,-50000,800000,Unpaid,Inactive
PAY01201,"Jan 04, 2025",January,STU0137,Grammar,Intermediate,, Cash ,750000,25000,725000,paid,Active
PAY01202,"May 14, 2025",May,STU0239,Speaking,Beginner,Jhon, Cash ,650000,0,650000,paid,active
PAY01203,2025-12-20,December,STU0113,IELTS,Intermediate,Michael,transfer,700000,50000,650000,paid,active
PAY01204,2025/08/01,August,STU0391,TOEFL,Advanced,,,5000000,,,Paid,Actve
PAY01205,"Sep 28, 2025",September,STU0425,TOEFL,Advanced,SARAH,Transfer,500000,-50000,550000,Paid,active
PAY01206,2025/09/24,September,STU0299,ENG,Beginner,SARAH,transfer,500000,,,Paid,Actve
PAY01207,2025/03/09,March,STU0237,Speaking,Advanced,John,transfer,750000,-50000,800000,Unpaid,Active
PAY01208,2025-04-22,April,STU0033,English,Beginner, john ,Cash,500000,100000,400000,Unpaid,Actve
PAY01209,03/04/2025,April,STU0196,ENG,Intermediate,Jhon,Cash,750000,50000,700000,paid,Inactive
PAY01210,"Dec 01, 2025",December,STU0202,IELTS,Advanced,Linda,,500000,25000,475000,Paid,Active
PAY01211,2025/06/02,June,STU0422,TOEFL,Beginner, john ,Bank Transfer,5000000,100000,4900000,Paid,active
PAY01212,2025-04-07,April,STU0393,English,Beginner,Linda,Cash,500000,,,Paid,Active
PAY01213,2025-08-17,August,STU0225,TOEFL,Advanced,Linda,,650000,,,Paid,Inactive
PAY01214,"Sep 15, 2025",September,STU0296,Grammar,Beginner,David,Transfer,650000,,,paid,Inactive
PAY01215,"Jul 31, 2025",July,STU0303,IELTS,Advanced,Jhon,E-Wallet,700000,0,700000,Unpaid,Active
PAY01216,2025/06/26,June,STU0210,IELTS,Intermediate,Jhon,Transfer,5000000,50000,4950000,paid,Actve
PAY01217,04/05/2025,May,STU0238,English,Advanced,Jhon,transfer,700000,,,paid,Inactive
PAY01218,18/07/2025,July,STU0041,ENG,Intermediate,Sarah,E-Wallet,700000,25000,675000,paid,Inactive
PAY01219,"Jan 27, 2025",January,STU0021,Math,Beginner,, Cash ,750000,,,paid,Inactive
PAY01220,03/09/2025,September,STU0008,TOEFL,Beginner,Sarah, Cash ,700000,50000,650000,Unpaid,Inactive
PAY01221,23/12/2025,December,STU0398,Speaking,Intermediate, john ,E-Wallet,750000,25000,725000,paid,active
PAY01222,"Jun 07, 2025",June,STU0239,Math,Advanced, john ,,700000,-50000,750000,Unpaid,Inactive
PAY01223,"Jul 09, 2025",July,STU0114,IELTS,Beginner,David,E-Wallet,750000,0,750000,paid,Actve
PAY01224,01/06/2025,June,STU0292,TOEFL,Intermediate,SARAH, Cash ,650000,50000,600000,paid,active
PAY01225,2025/05/12,May,STU0408,Grammar,Beginner,Michael, Cash ,750000,100000,650000,paid,Actve
PAY01226,2025-04-05,April,STU0039,English,Beginner,Jhon,Transfer,5000000,0,5000000,paid,Inactive
PAY01227,04/02/2025,February,STU0192,English,Advanced,,transfer,500000,25000,475000,paid,Actve
PAY01228,2025-01-09,January,STU0009,Speaking,Advanced,David,Cash,5000000,-50000,5050000,paid,Actve
PAY01229,2025-04-02,April,STU0099,Speaking,Intermediate,David,,500000,-50000,550000,Unpaid,Active
PAY01230,2025/07/11,July,STU0357,TOEFL,Intermediate,Sarah, Cash ,750000,-50000,800000,paid,Active
PAY01231,2025/02/17,February,STU0029,English,Advanced,Michael,Cash,750000,100000,650000,Unpaid,Actve
PAY01232,"Nov 27, 2025",November,STU0471,English,Beginner,Linda,,5000000,0,5000000,paid,Actve
PAY01233,2025-05-19,May,STU0461,English,Beginner,Emily,Cash,500000,,,Paid,Inactive
PAY01234,2025/12/31,December,STU0124,english,Advanced,SARAH,Bank Transfer,500000,50000,450000,Unpaid,Inactive
PAY01235,2025-12-19,December,STU0028,Math,Intermediate,Linda,,5000000,,,Paid,active
PAY01236,2025/11/06,November,STU0402,ENG,Intermediate,Linda,Bank Transfer,700000,0,700000,paid,Actve
PAY01237,10/08/2025,August,STU0396,Speaking,Beginner,Sarah,Cash,5000000,,,Unpaid,Inactive
PAY01238,14/07/2025,July,STU0047,English,Intermediate, john ,Bank Transfer,750000,50000,700000,Unpaid,Active
PAY01239,2025-03-09,March,STU0285,english,Beginner,John,Cash,650000,100000,550000,Unpaid,Active
PAY01240,"Nov 02, 2025",November,STU0199,Math,Advanced,SARAH,Transfer,750000,0,750000,paid,Inactive
PAY01241,2025/12/17,December,STU0138,ENG,Beginner,Sarah,Transfer,650000,25000,625000,Unpaid,active
PAY01242,"Aug 04, 2025",August,STU0484,TOEFL,Advanced, john ,E-Wallet,750000,0,750000,paid,Inactive
PAY01243,2025-08-23,August,STU0203,Grammar,Advanced,Jhon,,650000,50000,-600000,Unpaid,Actve
PAY01244,2025/06/21,June,STU0309,TOEFL,Intermediate,Emily,Transfer,5000000,25000,4975000,Unpaid,active
PAY01245,2025/05/30,May,STU0144,english,Intermediate,Sarah,E-Wallet,5000000,25000,4975000,Paid,Inactive
PAY01246,2025-12-16,December,STU0409,Speaking,Advanced,Sarah,,750000,,,Unpaid,Actve
PAY01247,"Mar 13, 2025",March,STU0367,english,Intermediate,Sarah,transfer,650000,50000,600000,paid,Actve
PAY01248,2025/10/26,October,STU0446,english,Advanced,John,,5000000,-50000,5050000,Unpaid,Active
PAY01249,25/02/2025,February,STU0023,english,Intermediate,Jhon,Cash,700000,25000,675000,Paid,Active
PAY01250,13/05/2025,May,STU0298,TOEFL,Intermediate,Emily,transfer,5000000,,,Unpaid,Inactive
PAY01251,2025-06-26,June,STU0472,Math,Beginner,Michael,Bank Transfer,750000,0,750000,Unpaid,active
